timestep,0,1,2,3,4,5,6,7,8,9
332,41,126.1,466.04,446.13,205.25,774.71,468.58,1286.1,223,751.51
333,40,125.9,471.92,437.98,204.73,724.47,461.38,1261.5,166,764.79
334,40,125.8,471.02,436.91,202.39,696.27,463.39,1219.6,184,761.25
335,43,124.8,467.48,428.85,202.26,623.87,462.52,1177.9,160,766.01
336,42,124.3,468.17,439.2,203.97,584.58,462.95,1171.2,140,788.76
337,43,125.1,462.79,440.96,201.32,547.65,464.5,1174.5,137,801.64
338,38,124.2,455,434.42,196.44,546.25,468.25,1163,143,808.27
339,35,124.3,457.3,432.2,199.72,560.17,471.76,1141,141,786.12
340,35,125.5,476.54,442.45,203.87,593.91,473.87,1163.7,142,785.03
341,34,126.8,489.51,452.23,209.85,760.49,466.57,1202.2,150,769.78
342,41,127.2,503.24,448.29,220.25,835.08,491.46,1256.3,211,969.12
343,41,127.3,508.47,446.51,227.11,848.69,493.3,1322.2,262,985.7
344,43,128.9,520.2,460.12,232.05,732.99,501.41,1365.7,189,1030.75
345,43,130.3,524.85,468.55,232.1,696.44,479.35,1369.9,181,847.74
346,39,129.8,531.21,459.87,230.57,670.94,520.28,1341.6,171,1147.5
347,38,128.4,532.18,450.71,228.61,663.41,502.38,1300.3,170,1097.18
348,38,127.4,517.13,444.99,226.27,674.06,489.34,1345.3,176,1054.39
349,39,126.9,506.55,442.99,223.52,683.43,437.17,1384.9,177,700.4
350,37,127.1,498.39,444.92,221.52,670.66,443.68,1384.6,173,670.51
351,38,127.3,492.94,446.31,220.98,671.96,447.86,1343.8,175,654.74
352,41,128.2,484.08,458.62,214.99,713.87,453.06,1305.1,172,655.13
353,43,129.2,474.47,455.6,208.85,760.99,517.1,1307.7,202,1114.76
354,44,129.1,471.37,455.7,205.26,808.06,517.94,1257.6,244,1142.04
355,43,128.3,460.56,444.59,200.4,836.36,524.9,1212.2,222,1160.38
356,32,127.9,452.8,443.39,198.45,841.72,461.06,1162.3,225,722.37
357,45,127.5,445.11,447.42,196.84,781.09,452.17,1165.6,222,720.08
358,40,127.6,442.75,443.99,192.12,692.54,445.72,1130,195,708.4
359,40,126.9,434.02,436.58,189.59,616.64,449.03,1117.9,153,680.79
